node_id,x,y
1685306649,3516.95,1689.48
1685306650,3589.08,1728.97
1685306669,3871.11,1868.89
1685401927,3422.48,2107.37
1699698670,922.97,2578.65
1701347075,1007.23,4983.88
1701620285,3556.71,3552.76
1703857751,6229.38,3193.83
1727351004,923.42,1677.08
1761863805,3861.42,1182.09
1762715583,6934.47,1424.46
1772182829,2278.4,2572.21
1772228771,7666.27,2054.18
1801260560,4094.16,3885.32
1801260561,4260.72,4096.42
1810222135,6903.19,5644.5
1820676308,4805.4,2955.79
1821035843,4166.96,3449.92
1822055188,3999.14,3765.23
1822540148,6519.7,5589.18
1826354837,6002.47,4849.84
1832275456,5577.07,3595.41
1837119678,4666.96,1549.95
1838323753,977.48,1717.19
1838323759,964.26,1713.58
1850773136,5677.41,4900.06
1870942094,7166.83,5811.66
1873900667,5521.91,5525.38
187977745#0-AddedOnRampNode,2440.26,4821.06
1906476090,4934.96,3586.46
1911930952,7017.2,3591.0
1911930957,6974.78,3616.83
1914269560,6173.75,2191.95
1914277251,6096.3,2406.7
1928166925,2827.59,5148.83
1946220905,6287.56,3552.22
1947591826,7168.99,5574.07
1947591832,7149.99,5661.97
1983147608,4943.55,4660.05
1985900122,1123.48,2417.58
1986114285,2432.74,4692.27
1999205832,3847.69,3644.08
1999205833,3955.72,3668.51
1999217108,4082.13,3797.42
2002201332,6388.78,3746.55
2027440548,7237.37,2764.92
2038386672,6997.22,5865.05
2067978508,2413.17,4688.53
2090596137,6190.44,3819.18
2099065320,1953.34,4256.68
2103068296,7981.53,4881.08
2103068306,8100.73,4663.03
2105727179,3492.99,4431.16
2113349480,2672.63,4283.98
2120142957,3932.15,4252.2
2125413348,2468.37,3717.59
21305996,8129.59,4519.79
21305997,8005.46,4462.37
21305998,7726.39,4351.86
2140181671,2357.41,4600.07
2144935899,7979.89,2329.59
2144936033,8070.12,2490.63
21456881,7156.3,4106.75
21456887,5926.87,3525.06
21456894,5897.71,3462.76
2160064016,7161.35,2813.07
2190611546,5854.72,2511.99
2220284425,2721.11,1352.25
2243680788,6167.25,5783.6
2256342789,8125.24,4910.3
2256349210,8062.51,3974.06
2256351534,7070.87,4455.82
2256352486,7040.69,4344.61
225757572#0-AddedOnRampNode,7641.05,5675.39
225757572#1-AddedOnRampNode,6826.64,5771.09
2261910377,6034.04,4826.24
2276974582,3737.74,2326.55
2296395497,7890.45,1341.79
2341508003,2227.23,2376.64
2372876949,3844.64,5241.64
2408401455,4153.54,1351.17
2445342292,1661.23,2274.23
2445343076,2303.95,2125.64
2445880917,741.07,2019.17
24486492,8264.34,3671.51
24486661,7706.23,5599.74
24486675,6688.38,5711.64
24486683,6284.21,5808.8
24486685,6192.07,5841.86
2451243512,4290.91,5411.42
2452418977,3989.15,1558.51
2455621140,2322.38,2023.95
2458464742,2005.17,2740.23
2458465705,2213.04,2679.9
2466643837,1554.88,1909.83
250197359,3816.92,4897.73
250197361,3499.41,5368.14
250197364,3173.71,5767.03
250197369,3838.36,5278.12
250197371,3586.59,5231.87
250197374,3855.79,5188.0
250197376,3645.05,5144.41
250197378,3875.36,5093.61
250197384,3729.7,5335.0
250197386,3778.37,5076.33
250197390,3761.79,5168.9
250197393,3744.13,5260.18
250197397,3628.06,5351.48
250197400,3648.18,5242.15
250197402,3668.11,5151.81
250197404,3519.15,5059.52
250197407,3533.77,5198.56
250197410,3447.22,5343.1
250197418,3910.47,4912.71
250197421,3892.46,5004.96
250197440,3796.79,4985.89
250197456,4091.11,5417.89
250197463,3917.3,5387.67
250197466,4008.0,4930.16
250197467,3936.04,5296.63
250197468,3953.85,5205.82
250197469,3990.12,5023.89
250197470,4163.0,5056.92
250197471,4127.03,5237.14
250197472,4181.18,4963.74
